Sentence	Source
ଆର୍ଟିଫିସିଆଲ ଇଣ୍ଟେଲିଜେନ୍ସ ବା ଏଆଇ ଅତି ଶୀଘ୍ର ବିକାଶ ଲାଭ କରୁଥିବା ଏକ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ଲାର୍ଜ ଲାଙ୍ଗୁଏଜ୍ ମଡେଲ ବା ଏଲ୍ଏଲ୍ଏମ୍ ଏକ ବିକାଶଶୀଳ ଟେକ୍ନୋଲୋଜି ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ଏଆଇ ଓ ଏଲ୍ଏଲ୍ଏମ୍ ଲେଖାକୁ ବିଶ୍ଳେଷଣ ଏବଂ ସୃଷ୍ଟି କରିବା ପାଇଁ ବ୍ୟବହାର କରାଯାଉଛି ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ତଥାପି, ସେମାନେ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ନୈତିକ ଅସୁବିଧା ସୃଷ୍ଟି କରନ୍ତି ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ଏହି ପ୍ରବନ୍ଧରେ, ଆମେ ଏଆଇ ଏବଂ ଏଲ୍ଏଲ୍ଏମ୍ କିପରି କାର୍ଯ୍ୟ କରେ ତାହା ଅନୁସନ୍ଧାନ କରିବୁ ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ଏହି ଟେକ୍ନୋଲୋଜି ସହିତ ଜଡ଼ିତ କିଛି ନୈତିକ ସମସ୍ୟା ବିଷୟରେ ଆଲୋଚନା କରିବୁ ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ଏଆଇ ହେଉଛି କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନର ଏକ କ୍ଷେତ୍ର ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ଚାଟ୍-ଜିପିଟି ଭଳି ଏଲ୍ଏଲ୍ଏମ୍ ଏଆଇ ଟେକ୍ନୋଲୋଜିର ଏକ ଉଦାହରଣ ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ଭାଷା ତଥ୍ୟ ବିଶ୍ଳେଷଣ ଏବଂ ଭାଷା ବ୍ୟବହାରର ଢାଞ୍ଚା ଆଧାରରେ ନୂଆ ଲେଖା ସୃଷ୍ଟି କରିବା ଏଲ୍ଏଲ୍ଏମ୍ ତିଆରିର ଉଦ୍ଦେଶ୍ୟ ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
ଏଥି ପାଇଁ ଏଲଏଲଏମସବୁଙ୍କୁ ବିପୁଳ ପରିମାଣର ଲେଖା ବା ଟେକ୍ସଟ ଉପରେ ପ୍ରଶିକ୍ଷଣ ଦିଆଯାଏ ।	OpenSpeaks Before AI: Odia Sentences. Subhashish Panigrahi. O Foundation. CC0 1.0. (2023). https://github.com/ofdn/OpenSpeaks-Before-AI/blob/main/data/odia-or-sentence-list.txt
